Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	1	3	2	3	6500	3	311	1	2000	8.000041e+00	1	1	0	4.590942e-01
23000	13000	trial type	2	3	2	3	6500	3	331	1	2000	2.300002e+01	1	1	0	3.865571e-01
38000	13000	trial type	2	3	2	3	6500	342	3	2	4000	3.800001e+01	2	1	0	3.011748e-01
55000	13000	trial type	2	3	1	2	6500	250	2	2	4000	5.500017e+01	2	1	0	3.111044e-01
72000	13000	trial type	4	1	2	1	6500	1	130	1	4000	7.200001e+01	1	1	0	3.433171e-01
89000	13000	trial type	3	4	2	4	6500	4	430	1	4000	8.900002e+01	1	1	0	4.269209e-01
106000	13000	trial type	2	4	1	2	6500	234	2	2	2000	1.060000e+02	1	0	0	3.511782e-01
121000	13000	trial type	1	2	1	1	6500	1	110	1	4000	1.210000e+02	1	1	0	4.084199e-01
138000	13000	trial type	4	3	1	4	6500	4	432	1	2000	1.380000e+02	2	0	0	5.297655e-01
153000	13000	trial type	4	3	2	3	6500	3	310	1	4000	1.530000e+02	1	1	0	3.841292e-01
170000	13000	trial type	2	4	2	4	6500	4	448	1	2000	1.700001e+02	2	0	0	3.353854e-01
185000	13000	trial type	3	1	2	1	6500	123	1	2	2000	1.850000e+02	2	1	0	1.826466e-01
200000	13000	trial type	1	4	2	4	6500	449	4	2	2000	2.000000e+02	2	1	0	3.104060e-01
215000	13000	trial type	3	4	1	3	6500	3	303	1	2000	2.150000e+02	2	0	0	7.966878e-01
230000	13000	trial type	2	3	1	2	6500	2	218	1	2000	2.300000e+02	1	1	0	6.842574e-01
245000	13000	trial type	2	1	1	2	6500	242	2	2	4000	2.450000e+02	2	1	0	2.057228e-01
262000	13000	trial type	4	2	2	2	6500	2	210	1	4000	2.620000e+02	1	1	0	3.377458e-01
279000	13000	trial type	1	2	1	1	6500	106	1	2	2000	2.790001e+02	1	0	0	5.828236e-01
294000	13000	trial type	2	4	2	4	6500	413	4	2	4000	2.940000e+02	1	0	0	6.851439e-01
311000	13000	trial type	2	1	2	1	6500	1	142	1	4000	3.110000e+02	1	1	0	4.665796e-01
328000	13000	trial type	3	2	1	3	6500	306	3	2	2000	3.280000e+02	2	1	0	2.517014e-01
343000	13000	trial type	4	3	2	3	6500	314	3	2	4000	3.430000e+02	2	1	0	2.150772e-01
360000	13000	trial type	4	1	1	4	6500	433	4	2	4000	3.600000e+02	2	1	0	5.155098e-01
377000	13000	trial type	2	4	1	2	6500	2	217	1	2000	3.770000e+02	1	1	0	5.272363e-01
