Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	3	4	2	4	6500	445	4	2	4000	8.003150e+000	2	1	0	3.189807e-001
25000	13000	trial type	2	3	1	2	6500	204	2	2	4000	2.500002e+001	2	1	0	3.205520e-001
42000	13000	trial type	4	3	2	3	6500	3	319	1	4000	4.200001e+001	1	1	0	4.576306e-001
59000	13000	trial type	1	2	1	1	6500	146	1	2	2000	5.900001e+001	2	1	0	3.872312e-001
74000	13000	trial type	3	1	2	1	6500	110	1	2	2000	7.400001e+001	2	1	0	3.043575e-001
89000	13000	trial type	3	2	2	2	6500	2	241	1	4000	8.900001e+001	1	1	0	6.247026e-001
106000	13000	trial type	2	1	1	2	6500	2	217	1	4000	1.060000e+002	1	1	0	3.671662e-001
123000	13000	trial type	2	3	2	3	6500	316	3	2	2000	1.230000e+002	2	1	0	3.659004e-001
138000	13000	trial type	4	1	1	4	6500	4	450	1	4000	1.380000e+002	2	0	0	7.366434e-001
155000	13000	trial type	4	1	2	1	6500	1	137	1	2000	1.550000e+002	1	1	0	9.407414e-001
170000	13000	trial type	4	2	2	2	6500	230	2	2	2000	1.700000e+002	2	1	0	6.731111e-001
185000	13000	trial type	3	2	1	3	6500	347	3	2	2000	1.850000e+002	2	1	0	3.024825e-001
200000	13000	trial type	3	1	1	3	6500	3	341	1	2000	2.000000e+002	1	1	0	3.338227e-001
215000	13000	trial type	4	3	1	4	6500	421	4	2	2000	2.150000e+002	2	1	0	4.497741e-001
230000	13000	trial type	2	1	2	1	6500	149	1	2	4000	2.300000e+002	2	1	0	2.584648e-001
247000	13000	trial type	1	4	2	4	6500	4	406	1	4000	2.470000e+002	1	1	0	1.060814e+000
264000	13000	trial type	2	4	1	2	6500	217	2	2	4000	2.640000e+002	2	1	0	4.137042e-001
281000	13000	trial type	1	4	1	1	6500	1	118	1	4000	2.810000e+002	1	1	0	4.462947e-001
298000	13000	trial type	3	1	2	1	6500	1	135	1	4000	2.980000e+002	1	1	0	2.895351e-001
315000	13000	trial type	3	1	1	3	6500	324	3	2	4000	3.150000e+002	2	1	0	2.728133e-001
332000	13000	trial type	1	3	2	3	6500	3	348	1	4000	3.320000e+002	1	1	0	3.659541e-001
349000	13000	trial type	3	4	1	3	6500	343	3	2	2000	3.490000e+002	2	1	0	2.605226e-001
364000	13000	trial type	2	1	1	2	6500	243	2	2	2000	3.640000e+002	2	1	0	3.165565e-001
379000	13000	trial type	3	2	2	2	6500	201	2	2	4000	3.790000e+002	2	1	0	3.489970e-001
