Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	1	3	1	1	6500	1	117	1	2000	8.003161e+00	1	1	0	3.926009e-01
23000	13000	trial type	2	1	1	2	6500	2	229	1	4000	2.300003e+01	99	0	1	-1
40000	13000	trial type	3	1	1	3	6500	3	328	1	4000	4.000001e+01	1	1	0	3.363564e-01
57000	13000	trial type	3	1	2	1	6500	1	131	1	2000	5.700001e+01	1	1	0	6.612203e-01
72000	13000	trial type	3	2	1	3	6500	3	343	1	4000	7.200001e+01	1	1	0	7.482280e-01
89000	13000	trial type	3	4	1	3	6500	3	337	1	4000	8.900001e+01	2	0	0	9.273049e-01
106000	13000	trial type	2	1	2	1	6500	1	140	1	2000	1.060000e+02	1	1	0	3.051032e-01
121000	13000	trial type	4	3	1	4	6500	4	448	1	2000	1.210000e+02	2	0	0	1.477641e+00
136000	13000	trial type	1	3	2	3	6500	3	313	1	4000	1.360000e+02	2	0	0	1.094545e+00
153000	13000	trial type	1	2	1	1	6500	1	105	1	4000	1.530000e+02	2	0	0	4.961471e-01
170000	13000	trial type	4	1	1	4	6500	4	422	1	4000	1.700000e+02	2	0	0	6.726841e-01
187000	13000	trial type	3	2	2	2	6500	2	244	1	2000	1.870000e+02	1	1	0	7.733395e-01
202000	13000	trial type	1	2	2	2	6500	2	214	1	2000	2.020000e+02	1	1	0	4.534897e-01
217000	13000	trial type	1	4	2	4	6500	4	409	1	2000	2.170000e+02	2	0	0	5.159822e-01
232000	13000	trial type	2	4	2	4	6500	4	446	1	2000	2.320000e+02	2	0	0	5.680045e-01
247000	13000	trial type	2	4	1	2	6500	2	248	1	4000	2.470000e+02	2	0	0	2.963313e-01
264000	13000	trial type	4	3	2	3	6500	3	318	1	4000	2.640000e+02	2	0	0	5.027682e-01
281000	13000	trial type	4	2	2	2	6500	2	218	1	2000	2.810000e+02	1	1	0	4.856216e-01
296000	13000	trial type	4	1	2	1	6500	1	149	1	4000	2.960000e+02	1	1	0	5.978366e-01
313000	13000	trial type	1	4	1	1	6500	1	117	1	4000	3.130000e+02	1	1	0	5.201060e-01
330000	13000	trial type	3	4	2	4	6500	4	440	1	2000	3.300000e+02	1	1	0	6.171195e-01
345000	13000	trial type	2	3	1	2	6500	2	220	1	4000	3.450000e+02	2	0	0	4.074653e-01
362000	13000	trial type	4	2	1	4	6500	4	402	1	2000	3.620000e+02	2	0	0	9.684237e-01
377000	13000	trial type	2	3	2	3	6500	3	330	1	2000	3.770000e+02	1	1	0	3.673565e-01
