Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	1	2	2	2	6500	2	203	1	2000	8.002984e+000	1	1	0	5.171897e-001
23000	13000	trial type	2	1	2	1	6500	120	1	2	4000	2.300002e+001	2	1	0	2.766078e-001
40000	13000	trial type	1	3	1	1	6500	1	110	1	2000	4.000001e+001	1	1	0	5.480611e-001
55000	13000	trial type	2	1	1	2	6500	225	2	2	4000	5.500001e+001	2	1	0	8.793482e-001
72000	13000	trial type	4	2	1	4	6500	406	4	2	4000	7.200001e+001	2	1	0	3.194018e-001
89000	13000	trial type	4	1	2	1	6500	1	105	1	2000	8.900001e+001	1	1	0	4.308973e-001
104000	13000	trial type	3	4	2	4	6500	4	440	1	2000	1.040000e+002	1	1	0	3.958886e-001
119000	13000	trial type	1	3	1	1	6500	142	1	2	4000	1.190000e+002	2	1	0	3.241643e-001
136000	13000	trial type	2	1	1	2	6500	2	237	1	4000	1.360000e+002	2	0	0	6.935377e-001
153000	13000	trial type	2	4	1	2	6500	2	219	1	4000	1.530000e+002	1	1	0	4.299621e-001
170000	13000	trial type	1	4	2	4	6500	420	4	2	4000	1.700000e+002	2	1	0	3.832539e-001
187000	13000	trial type	1	4	2	4	6500	4	419	1	2000	1.870000e+002	1	1	0	5.825310e-001
202000	13000	trial type	3	4	1	3	6500	3	344	1	2000	2.020000e+002	1	1	0	2.886238e-001
217000	13000	trial type	4	3	1	4	6500	419	4	2	2000	2.170000e+002	2	1	0	2.952892e-001
232000	13000	trial type	3	2	2	2	6500	2	237	1	2000	2.320000e+002	2	0	0	2.885286e-001
247000	13000	trial type	1	4	1	1	6500	1	125	1	4000	2.470000e+002	1	1	0	5.706018e-001
264000	13000	trial type	2	1	2	1	6500	1	150	1	4000	2.640000e+002	2	0	0	7.231482e-001
281000	13000	trial type	3	2	2	2	6500	235	2	2	2000	2.810000e+002	2	1	0	3.631451e-001
296000	13000	trial type	4	1	1	4	6500	4	404	1	2000	2.960000e+002	1	1	0	4.048089e-001
311000	13000	trial type	3	1	2	1	6500	1	114	1	4000	3.110000e+002	1	1	0	4.028705e-001
328000	13000	trial type	2	4	2	4	6500	4	419	1	4000	3.280000e+002	2	0	0	8.075411e-001
345000	13000	trial type	4	3	2	3	6500	3	335	1	4000	3.450000e+002	1	1	0	9.885772e-001
362000	13000	trial type	1	2	1	1	6500	1	123	1	4000	3.620000e+002	1	1	0	3.280085e-001
379000	13000	trial type	3	1	1	3	6500	344	3	2	2000	3.790000e+002	2	1	0	1.061392e-001
