Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	1	3	1	1	6500	1	129	2	4000	8.003033e+00	1	0	0	4.565300e-01
25000	13000	trial type	4	1	2	1	6500	1	123	2	4000	2.500003e+01	2	1	0	5.026378e-01
42000	13000	trial type	1	4	1	1	6500	1	143	1	2000	4.200001e+01	1	1	0	4.071989e-01
57000	13000	trial type	3	1	1	3	6500	3	313	1	2000	5.700001e+01	1	1	0	5.340732e-01
72000	13000	trial type	3	4	1	3	6500	3	320	1	2000	7.200001e+01	1	1	0	8.114065e-01
87000	13000	trial type	3	1	2	1	6500	1	118	1	4000	8.700001e+01	2	0	0	5.344277e-01
104000	13000	trial type	2	3	2	3	6500	3	310	1	2000	1.040000e+02	1	1	0	3.889938e-01
119000	13000	trial type	3	2	1	3	6500	3	310	2	2000	1.190000e+02	1	0	0	8.195408e-01
134000	13000	trial type	2	4	2	4	6500	4	446	2	2000	1.340000e+02	1	0	0	5.241861e-01
149000	13000	trial type	4	2	1	4	6500	4	449	1	4000	1.490000e+02	2	0	0	7.176890e-01
166000	13000	trial type	1	2	2	2	6500	2	235	1	2000	1.660000e+02	2	0	0	4.195434e-01
181000	13000	trial type	4	3	1	4	6500	4	426	2	2000	1.810001e+02	1	0	0	1.426741e+00
196000	13000	trial type	4	1	1	4	6500	4	421	2	4000	1.960000e+02	1	0	0	3.621294e-01
213000	13000	trial type	1	3	2	3	6500	3	321	2	2000	2.130000e+02	1	0	0	5.750265e-01
228000	13000	trial type	4	2	2	2	6500	2	240	1	4000	2.280000e+02	2	0	0	3.212366e-01
245000	13000	trial type	1	2	1	1	6500	1	122	1	2000	2.450000e+02	2	0	0	4.881849e-01
260000	13000	trial type	2	1	1	2	6500	2	233	2	4000	2.600000e+02	1	0	0	7.258807e-01
277000	13000	trial type	2	4	1	2	6500	2	249	2	4000	2.770000e+02	1	0	0	3.388476e-01
294000	13000	trial type	4	3	2	3	6500	3	339	2	4000	2.940000e+02	1	0	0	4.281644e-01
311000	13000	trial type	3	4	2	4	6500	4	440	1	4000	3.110000e+02	99	0	1	-1
328000	13000	trial type	2	1	2	1	6500	1	101	2	4000	3.280000e+02	1	0	0	9.184220e-01
345000	13000	trial type	2	3	1	2	6500	2	231	1	2000	3.450000e+02	1	1	0	4.696198e-01
360000	13000	trial type	1	4	2	4	6500	4	437	1	2000	3.600000e+02	1	1	0	8.351193e-01
375000	13000	trial type	3	2	2	2	6500	2	250	2	4000	3.750000e+02	2	1	0	5.694429e-01
