Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	3	2	1	3	6500	3	301	1	4000	8.003033e+00	1	1	0	3.942641e-01
25000	13000	trial type	1	4	1	1	6500	1	140	1	4000	2.500003e+01	1	1	0	5.540939e-01
42000	13000	trial type	2	4	1	2	6500	2	244	1	4000	4.200001e+01	1	1	0	6.464880e-01
59000	13000	trial type	2	3	2	3	6500	315	3	2	2000	5.900001e+01	2	1	0	5.811408e-01
74000	13000	trial type	1	4	2	4	6500	405	4	2	2000	7.400001e+01	2	1	0	3.992839e-01
89000	13000	trial type	2	3	2	3	6500	3	319	1	4000	8.900001e+01	2	0	0	6.496697e-01
106000	13000	trial type	2	1	2	1	6500	1	127	1	2000	1.060000e+02	1	1	0	6.454607e-01
121000	13000	trial type	1	2	2	2	6500	222	2	2	4000	1.210000e+02	2	1	0	9.391529e-01
138000	13000	trial type	4	1	1	4	6500	4	437	1	2000	1.380000e+02	1	1	0	4.727042e-01
153000	13000	trial type	3	2	2	2	6500	223	2	2	4000	1.530000e+02	2	1	0	5.857005e-01
170000	13000	trial type	1	3	1	1	6500	107	1	2	4000	1.700000e+02	2	1	0	9.289172e-01
187000	13000	trial type	2	1	1	2	6500	236	2	2	4000	1.870000e+02	2	1	0	4.612248e-01
204000	13000	trial type	4	3	2	3	6500	3	338	1	4000	2.040000e+02	1	1	0	4.569425e-01
221000	13000	trial type	3	2	2	2	6500	2	223	1	2000	2.210000e+02	1	1	0	5.590501e-01
236000	13000	trial type	3	1	2	1	6500	1	108	1	2000	2.360000e+02	1	1	0	9.607896e-01
251000	13000	trial type	2	1	1	2	6500	2	212	1	4000	2.510000e+02	1	1	0	5.925704e-01
268000	13000	trial type	3	2	1	3	6500	348	3	2	4000	2.680000e+02	2	1	0	7.428458e-01
285000	13000	trial type	1	3	2	3	6500	3	317	1	2000	2.850000e+02	1	1	0	9.451480e-01
300000	13000	trial type	2	3	1	2	6500	231	2	2	4000	3.000000e+02	2	1	0	6.700070e-01
317000	13000	trial type	4	1	2	1	6500	144	1	2	4000	3.170000e+02	2	1	0	1.009128e+00
334000	13000	trial type	4	1	1	4	6500	406	4	2	2000	3.340000e+02	2	1	0	9.154203e-01
349000	13000	trial type	3	4	1	3	6500	3	345	1	4000	3.490000e+02	1	1	0	8.516748e-01
366000	13000	trial type	1	4	1	1	6500	143	1	2	4000	3.660000e+02	2	1	0	4.919821e-01
383000	13000	trial type	2	1	2	1	6500	132	1	2	2000	3.830000e+02	2	1	0	5.042806e-01
