Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	4	1	1	4	6500	427	4	2	2000	8.003129e+000	2	1	0	5.350578e-001
23000	13000	trial type	4	3	1	4	6500	429	4	2	2000	2.300002e+001	2	1	0	8.950961e-001
38000	13000	trial type	1	3	1	1	6500	1	148	1	4000	3.800001e+001	1	1	0	5.079086e-001
55000	13000	trial type	3	1	1	3	6500	310	3	2	4000	5.500001e+001	1	0	0	7.810432e-001
72000	13000	trial type	3	4	1	3	6500	311	3	2	2000	7.200001e+001	2	1	0	3.834709e-001
87000	13000	trial type	3	2	1	3	6500	314	3	2	2000	8.700001e+001	2	1	0	7.786873e-001
102000	13000	trial type	2	3	1	2	6500	2	214	1	4000	1.020001e+002	1	1	0	8.498589e-001
119000	13000	trial type	2	3	1	2	6500	201	2	2	2000	1.190000e+002	2	1	0	5.741866e-001
134000	13000	trial type	2	4	1	2	6500	244	2	2	2000	1.340000e+002	1	0	0	1.001319e+000
149000	13000	trial type	2	1	1	2	6500	2	238	1	4000	1.490000e+002	1	1	0	5.019394e-001
166000	13000	trial type	4	2	1	4	6500	4	415	1	4000	1.660000e+002	1	1	0	7.780151e-001
183000	13000	trial type	1	3	1	1	6500	136	1	2	2000	1.830000e+002	1	0	0	5.796753e-001
198000	13000	trial type	1	2	1	1	6500	114	1	2	4000	1.980000e+002	1	0	0	3.617766e-001
215000	13000	trial type	4	1	1	4	6500	4	449	1	4000	2.150000e+002	1	1	0	7.420596e-001
232000	13000	trial type	4	2	1	4	6500	449	4	2	2000	2.320000e+002	1	0	0	7.824625e-001
247000	13000	trial type	1	4	1	1	6500	1	148	1	4000	2.470000e+002	1	1	0	3.526371e-001
264000	13000	trial type	4	3	1	4	6500	4	444	1	2000	2.640000e+002	1	1	0	4.110058e-001
279000	13000	trial type	1	4	1	1	6500	142	1	2	4000	2.790000e+002	1	0	0	2.892479e-001
296000	13000	trial type	3	1	1	3	6500	3	348	1	2000	2.960000e+002	1	1	0	4.885563e-001
311000	13000	trial type	3	4	1	3	6500	3	304	1	4000	3.110000e+002	1	1	0	3.169597e-001
328000	13000	trial type	3	2	1	3	6500	3	311	1	2000	3.280000e+002	1	1	0	2.742179e-001
343000	13000	trial type	2	4	1	2	6500	2	234	1	2000	3.430000e+002	1	1	0	4.047452e-001
358000	13000	trial type	2	1	1	2	6500	218	2	2	4000	3.580000e+002	2	1	0	3.617550e-001
375000	13000	trial type	1	2	1	1	6500	1	146	1	4000	3.750000e+002	1	1	0	6.752202e-001
